group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
comparison,unsuccessful,118,20,0.787,0.828,0.218,0.242,0.211,0.037,0.273,0.589,5.807
comparison,unsuccessful,119,20,0.783,0.828,0.209,0.240,0.204,0.041,0.273,0.593,5.842
comparison,unsuccessful,120,20,0.793,0.829,0.212,0.244,0.207,0.043,0.278,0.592,5.847
outcome,flat,0,18,0.074,0.122,0.000,0.000,0.000,0.000,0.000,0.159,1.104
outcome,flat,1,18,0.083,0.130,0.027,0.027,0.025,0.004,0.029,0.198,1.474
outcome,flat,2,18,0.091,0.137,0.043,0.044,0.040,0.007,0.046,0.236,1.830
outcome,flat,3,18,0.100,0.146,0.061,0.063,0.056,0.011,0.061,0.272,2.179
outcome,flat,4,18,0.109,0.153,0.075,0.078,0.071,0.011,0.074,0.306,2.515
outcome,flat,5,18,0.121,0.164,0.087,0.093,0.083,0.015,0.085,0.333,2.770
outcome,flat,6,18,0.132,0.185,0.095,0.101,0.091,0.015,0.098,0.357,3.019
outcome,flat,7,18,0.144,0.192,0.109,0.110,0.099,0.022,0.107,0.374,3.183
outcome,flat,8,18,0.152,0.196,0.120,0.117,0.107,0.023,0.123,0.392,3.368
outcome,flat,9,18,0.160,0.209,0.132,0.122,0.115,0.024,0.137,0.407,3.514
outcome,flat,10,18,0.173,0.225,0.145,0.131,0.127,0.023,0.143,0.421,3.644
outcome,flat,11,18,0.183,0.237,0.153,0.139,0.133,0.026,0.151,0.432,3.758
outcome,flat,12,18,0.196,0.251,0.153,0.135,0.129,0.030,0.151,0.440,3.845
outcome,flat,13,18,0.203,0.264,0.160,0.146,0.135,0.037,0.167,0.448,3.935
outcome,flat,14,18,0.221,0.283,0.173,0.159,0.146,0.040,0.178,0.458,4.046
outcome,flat,15,18,0.242,0.303,0.174,0.168,0.151,0.040,0.191,0.466,4.129
outcome,flat,16,18,0.256,0.309,0.178,0.176,0.161,0.033,0.205,0.470,4.192
outcome,flat,17,18,0.265,0.330,0.191,0.186,0.174,0.029,0.216,0.477,4.278
outcome,flat,18,18,0.286,0.362,0.196,0.182,0.168,0.042,0.232,0.485,4.393
outcome,flat,19,18,0.294,0.375,0.198,0.183,0.169,0.042,0.245,0.491,4.463
outcome,flat,20,18,0.316,0.393,0.198,0.188,0.170,0.046,0.254,0.497,4.545
outcome,flat,21,18,0.322,0.414,0.210,0.190,0.169,0.062,0.247,0.500,4.568
outcome,flat,22,18,0.344,0.438,0.211,0.194,0.171,0.063,0.250,0.505,4.635
outcome,flat,23,18,0.361,0.463,0.208,0.196,0.173,0.059,0.256,0.509,4.701
outcome,flat,24,18,0.370,0.478,0.220,0.212,0.186,0.061,0.264,0.514,4.766
outcome,flat,25,18,0.389,0.501,0.221,0.217,0.193,0.052,0.274,0.515,4.790
outcome,flat,26,18,0.410,0.525,0.230,0.214,0.191,0.064,0.289,0.516,4.829
outcome,flat,27,18,0.431,0.542,0.244,0.226,0.200,0.072,0.296,0.520,4.892
outcome,flat,28,18,0.440,0.560,0.254,0.221,0.202,0.071,0.304,0.526,4.977
outcome,flat,29,18,0.439,0.583,0.248,0.210,0.192,0.074,0.312,0.527,4.999
outcome,flat,30,18,0.448,0.589,0.250,0.214,0.190,0.084,0.308,0.529,5.027
outcome,flat,31,18,0.461,0.597,0.249,0.215,0.193,0.078,0.316,0.526,4.992
outcome,flat,32,18,0.470,0.611,0.239,0.210,0.189,0.072,0.329,0.531,5.082
outcome,flat,33,18,0.480,0.627,0.239,0.212,0.194,0.064,0.332,0.531,5.083
outcome,flat,34,18,0.488,0.642,0.233,0.208,0.189,0.063,0.343,0.535,5.137
outcome,flat,35,18,0.504,0.657,0.227,0.193,0.176,0.067,0.337,0.536,5.149
outcome,flat,36,18,0.516,0.665,0.226,0.197,0.181,0.062,0.338,0.540,5.206
outcome,flat,37,18,0.522,0.663,0.216,0.197,0.180,0.052,0.340,0.541,5.209
outcome,flat,38,18,0.529,0.671,0.222,0.198,0.184,0.052,0.337,0.542,5.233
outcome,flat,39,18,0.530,0.680,0.217,0.202,0.189,0.042,0.341,0.545,5.274
outcome,flat,40,18,0.550,0.696,0.219,0.195,0.191,0.033,0.336,0.548,5.301
outcome,flat,41,18,0.560,0.719,0.220,0.194,0.190,0.034,0.336,0.555,5.389
outcome,flat,42,18,0.574,0.724,0.219,0.195,0.188,0.037,0.335,0.555,5.403
outcome,flat,43,18,0.581,0.734,0.216,0.200,0.189,0.038,0.350,0.552,5.390
outcome,flat,44,18,0.586,0.747,0.216,0.201,0.187,0.043,0.354,0.556,5.437
outcome,flat,45,18,0.585,0.752,0.214,0.204,0.186,0.045,0.346,0.558,5.452
outcome,flat,46,18,0.604,0.763,0.209,0.204,0.180,0.053,0.342,0.561,5.491
outcome,flat,47,18,0.617,0.766,0.212,0.199,0.180,0.050,0.339,0.561,5.493
outcome,flat,48,18,0.634,0.775,0.212,0.207,0.182,0.056,0.331,0.564,5.523
outcome,flat,49,18,0.649,0.775,0.208,0.209,0.184,0.050,0.326,0.564,5.535
outcome,flat,50,18,0.654,0.788,0.211,0.213,0.190,0.044,0.332,0.564,5.537
outcome,flat,51,18,0.659,0.796,0.207,0.216,0.188,0.047,0.320,0.568,5.594
outcome,flat,52,18,0.667,0.804,0.218,0.229,0.197,0.051,0.328,0.568,5.585
outcome,flat,53,18,0.675,0.802,0.226,0.234,0.207,0.046,0.323,0.563,5.537
outcome,flat,54,18,0.687,0.805,0.226,0.234,0.207,0.048,0.325,0.568,5.593
outcome,flat,55,18,0.690,0.811,0.227,0.234,0.207,0.048,0.312,0.571,5.621
outcome,flat,56,18,0.696,0.818,0.226,0.229,0.200,0.055,0.306,0.575,5.657
outcome,flat,57,18,0.716,0.817,0.230,0.228,0.200,0.057,0.291,0.575,5.627
outcome,flat,58,18,0.717,0.821,0.217,0.217,0.188,0.059,0.286,0.578,5.668
outcome,flat,59,18,0.715,0.818,0.219,0.217,0.187,0.061,0.277,0.578,5.660
outcome,flat,60,18,0.722,0.807,0.222,0.216,0.191,0.057,0.274,0.581,5.687
outcome,flat,61,18,0.727,0.814,0.229,0.227,0.194,0.069,0.276,0.576,5.625
outcome,flat,62,18,0.724,0.816,0.225,0.217,0.189,0.063,0.272,0.578,5.650
outcome,flat,63,18,0.722,0.810,0.228,0.221,0.190,0.067,0.275,0.578,5.665
outcome,flat,64,18,0.724,0.813,0.224,0.219,0.188,0.066,0.274,0.577,5.643
outcome,flat,65,18,0.728,0.807,0.224,0.220,0.187,0.070,0.267,0.574,5.612
outcome,flat,66,18,0.734,0.811,0.227,0.223,0.189,0.073,0.254,0.577,5.628
outcome,flat,67,18,0.736,0.824,0.229,0.212,0.185,0.073,0.266,0.578,5.662
outcome,flat,68,18,0.742,0.824,0.236,0.214,0.184,0.083,0.265,0.583,5.722
outcome,flat,69,18,0.737,0.827,0.241,0.225,0.191,0.084,0.261,0.579,5.651
outcome,flat,70,18,0.745,0.825,0.238,0.220,0.190,0.078,0.262,0.582,5.686
outcome,flat,71,18,0.752,0.828,0.234,0.209,0.182,0.079,0.258,0.583,5.700
outcome,flat,72,18,0.759,0.826,0.227,0.201,0.177,0.075,0.261,0.589,5.777
outcome,flat,73,18,0.769,0.818,0.219,0.197,0.175,0.066,0.253,0.589,5.760
outcome,flat,74,18,0.776,0.828,0.216,0.199,0.174,0.067,0.266,0.586,5.746
outcome,flat,75,18,0.774,0.835,0.215,0.197,0.178,0.055,0.260,0.588,5.763
outcome,flat,76,18,0.788,0.830,0.208,0.189,0.175,0.048,0.265,0.586,5.755
outcome,flat,77,18,0.790,0.834,0.207,0.191,0.177,0.044,0.262,0.590,5.794
outcome,flat,78,18,0.795,0.840,0.204,0.197,0.180,0.041,0.256,0.593,5.816
outcome,flat,79,18,0.782,0.836,0.197,0.199,0.175,0.046,0.269,0.589,5.787
outcome,flat,80,18,0.791,0.829,0.199,0.205,0.176,0.051,0.276,0.591,5.820
outcome,flat,81,18,0.787,0.828,0.207,0.208,0.179,0.058,0.281,0.587,5.779
outcome,flat,82,18,0.790,0.829,0.204,0.205,0.173,0.062,0.278,0.588,5.780
outcome,flat,83,18,0.803,0.833,0.207,0.198,0.173,0.059,0.277,0.587,5.774
outcome,flat,84,18,0.801,0.832,0.206,0.192,0.172,0.054,0.278,0.590,5.806
outcome,flat,85,18,0.805,0.831,0.204,0.185,0.165,0.059,0.283,0.591,5.831
outcome,flat,86,18,0.804,0.830,0.208,0.194,0.172,0.059,0.283,0.588,5.804
outcome,flat,87,18,0.804,0.833,0.217,0.200,0.180,0.056,0.278,0.588,5.804
outcome,flat,88,18,0.806,0.835,0.223,0.196,0.181,0.058,0.279,0.588,5.809
outcome,flat,89,18,0.796,0.831,0.219,0.189,0.175,0.058,0.294,0.581,5.741
outcome,flat,90,18,0.797,0.814,0.222,0.193,0.178,0.059,0.288,0.581,5.736
outcome,flat,91,18,0.796,0.815,0.227,0.194,0.181,0.059,0.281,0.582,5.726
outcome,flat,92,18,0.795,0.812,0.232,0.200,0.186,0.059,0.288,0.582,5.735
outcome,flat,93,18,0.799,0.814,0.232,0.206,0.190,0.058,0.279,0.583,5.741
outcome,flat,94,18,0.795,0.814,0.241,0.221,0.204,0.053,0.280,0.577,5.681
outcome,flat,95,18,0.791,0.813,0.231,0.219,0.200,0.050,0.283,0.578,5.671
outcome,flat,96,18,0.792,0.824,0.225,0.220,0.199,0.049,0.275,0.582,5.718
outcome,flat,97,18,0.794,0.826,0.224,0.221,0.201,0.044,0.263,0.585,5.738
outcome,flat,98,18,0.785,0.832,0.231,0.222,0.203,0.047,0.269,0.580,5.684
outcome,flat,99,18,0.785,0.835,0.218,0.215,0.192,0.049,0.280,0.584,5.759
outcome,flat,100,18,0.778,0.842,0.219,0.208,0.191,0.046,0.270,0.583,5.721
outcome,flat,101,18,0.779,0.847,0.225,0.206,0.191,0.050,0.269,0.588,5.775
outcome,flat,102,18,0.780,0.850,0.224,0.200,0.189,0.047,0.282,0.589,5.794
outcome,flat,103,18,0.790,0.845,0.216,0.194,0.185,0.040,0.269,0.590,5.796
outcome,flat,104,18,0.799,0.851,0.207,0.192,0.180,0.039,0.261,0.595,5.862
outcome,flat,105,18,0.808,0.856,0.202,0.185,0.173,0.041,0.260,0.595,5.859
outcome,flat,106,18,0.800,0.855,0.202,0.189,0.175,0.040,0.261,0.594,5.858
outcome,flat,107,18,0.803,0.859,0.199,0.203,0.182,0.038,0.263,0.596,5.884
outcome,flat,108,18,0.804,0.855,0.195,0.209,0.182,0.039,0.258,0.594,5.842
outcome,flat,109,18,0.804,0.851,0.200,0.214,0.190,0.033,0.253,0.591,5.806
outcome,flat,110,18,0.801,0.844,0.205,0.215,0.197,0.026,0.253,0.591,5.812
outcome,flat,111,18,0.799,0.847,0.201,0.217,0.194,0.030,0.254,0.589,5.788
outcome,flat,112,18,0.795,0.845,0.211,0.225,0.202,0.032,0.261,0.584,5.750
outcome,flat,113,18,0.791,0.845,0.203,0.216,0.194,0.032,0.253,0.586,5.748
outcome,flat,114,18,0.788,0.841,0.189,0.210,0.180,0.039,0.245,0.588,5.768
outcome,flat,115,18,0.783,0.842,0.186,0.216,0.179,0.045,0.251,0.591,5.800
outcome,flat,116,18,0.782,0.839,0.192,0.222,0.180,0.054,0.249,0.592,5.800
outcome,flat,117,18,0.778,0.839,0.190,0.217,0.183,0.042,0.237,0.596,5.833
outcome,flat,118,18,0.789,0.828,0.187,0.215,0.180,0.041,0.251,0.593,5.804
outcome,flat,119,18,0.787,0.828,0.177,0.209,0.171,0.044,0.253,0.595,5.829
outcome,flat,120,18,0.797,0.828,0.177,0.212,0.172,0.045,0.259,0.594,5.830
outcome,gravity_without_vertical,0,1,0.078,0.116,0.000,0.000,0.000,0.000,0.000,0.164,1.154
outcome,gravity_without_vertical,1,1,0.086,0.126,0.023,0.022,0.022,0.000,0.025,0.201,1.507
outcome,gravity_without_vertical,2,1,0.118,0.141,0.050,0.042,0.042,0.008,0.056,0.224,1.746
outcome,gravity_without_vertical,3,1,0.139,0.170,0.069,0.069,0.069,0.001,0.076,0.256,2.045
outcome,gravity_without_vertical,4,1,0.177,0.166,0.065,0.061,0.061,0.003,0.091,0.291,2.392
outcome,gravity_without_vertical,5,1,0.214,0.185,0.080,0.073,0.073,0.006,0.098,0.315,2.637
outcome,gravity_without_vertical,6,1,0.240,0.217,0.118,0.084,0.084,0.035,0.085,0.362,3.070
outcome,gravity_without_vertical,7,1,0.252,0.241,0.111,0.072,0.072,0.039,0.088,0.403,3.482
outcome,gravity_without_vertical,8,1,0.245,0.259,0.120,0.080,0.080,0.040,0.085,0.395,3.385
outcome,gravity_without_vertical,9,1,0.271,0.261,0.122,0.085,0.085,0.037,0.089,0.415,3.567
outcome,gravity_without_vertical,10,1,0.259,0.280,0.136,0.071,0.071,0.065,0.080,0.424,3.631
outcome,gravity_without_vertical,11,1,0.239,0.281,0.152,0.108,0.108,0.044,0.077,0.437,3.761
outcome,gravity_without_vertical,12,1,0.246,0.338,0.135,0.109,0.109,0.026,0.114,0.463,4.044
outcome,gravity_without_vertical,13,1,0.264,0.394,0.125,0.096,0.096,0.029,0.123,0.494,4.355
outcome,gravity_without_vertical,14,1,0.281,0.423,0.185,0.136,0.136,0.049,0.130,0.502,4.521
outcome,gravity_without_vertical,15,1,0.322,0.457,0.199,0.166,0.166,0.033,0.126,0.504,4.493
outcome,gravity_without_vertical,16,1,0.303,0.485,0.198,0.188,0.188,0.010,0.150,0.505,4.537
outcome,gravity_without_vertical,17,1,0.326,0.448,0.208,0.221,0.208,0.014,0.159,0.504,4.535
outcome,gravity_without_vertical,18,1,0.334,0.529,0.201,0.213,0.201,0.012,0.172,0.512,4.671
outcome,gravity_without_vertical,19,1,0.379,0.550,0.197,0.210,0.197,0.014,0.173,0.502,4.583
outcome,gravity_without_vertical,20,1,0.340,0.526,0.206,0.233,0.206,0.027,0.173,0.501,4.558
outcome,gravity_without_vertical,21,1,0.361,0.565,0.234,0.235,0.234,0.001,0.214,0.511,4.745
outcome,gravity_without_vertical,22,1,0.371,0.590,0.251,0.252,0.251,0.001,0.197,0.507,4.689
outcome,gravity_without_vertical,23,1,0.443,0.629,0.225,0.242,0.225,0.017,0.210,0.533,5.028
outcome,gravity_without_vertical,24,1,0.492,0.698,0.187,0.216,0.187,0.028,0.191,0.553,5.251
outcome,gravity_without_vertical,25,1,0.476,0.699,0.179,0.214,0.179,0.034,0.192,0.537,5.035
outcome,gravity_without_vertical,26,1,0.492,0.742,0.168,0.182,0.168,0.014,0.195,0.561,5.289
outcome,gravity_without_vertical,27,1,0.582,0.735,0.205,0.193,0.193,0.013,0.261,0.555,5.346
outcome,gravity_without_vertical,28,1,0.571,0.682,0.215,0.187,0.187,0.028,0.259,0.542,5.174
outcome,gravity_without_vertical,29,1,0.614,0.684,0.219,0.216,0.216,0.003,0.276,0.549,5.288
outcome,gravity_without_vertical,30,1,0.589,0.684,0.204,0.227,0.204,0.023,0.262,0.535,5.065
outcome,gravity_without_vertical,31,1,0.674,0.686,0.204,0.219,0.204,0.014,0.249,0.558,5.347
outcome,gravity_without_vertical,32,1,0.675,0.717,0.184,0.201,0.184,0.017,0.281,0.575,5.576
outcome,gravity_without_vertical,33,1,0.685,0.740,0.187,0.211,0.187,0.025,0.304,0.585,5.693
outcome,gravity_without_vertical,34,1,0.728,0.801,0.173,0.239,0.173,0.066,0.306,0.601,5.935
outcome,gravity_without_vertical,35,1,0.745,0.803,0.124,0.184,0.124,0.061,0.296,0.613,6.093
outcome,gravity_without_vertical,36,1,0.799,0.828,0.134,0.213,0.134,0.079,0.249,0.618,6.058
outcome,gravity_without_vertical,37,1,0.796,0.839,0.132,0.193,0.132,0.061,0.231,0.631,6.218
outcome,gravity_without_vertical,38,1,0.801,0.848,0.151,0.200,0.151,0.049,0.268,0.613,6.060
outcome,gravity_without_vertical,39,1,0.759,0.797,0.160,0.173,0.160,0.013,0.283,0.593,5.832
outcome,gravity_without_vertical,40,1,0.754,0.805,0.133,0.190,0.133,0.057,0.252,0.596,5.873
outcome,gravity_without_vertical,41,1,0.779,0.816,0.133,0.195,0.133,0.062,0.235,0.596,5.852
outcome,gravity_without_vertical,42,1,0.766,0.831,0.151,0.206,0.151,0.055,0.253,0.587,5.773
outcome,gravity_without_vertical,43,1,0.778,0.834,0.162,0.225,0.162,0.063,0.249,0.583,5.700
outcome,gravity_without_vertical,44,1,0.803,0.877,0.133,0.237,0.133,0.104,0.263,0.593,5.867
outcome,gravity_without_vertical,45,1,0.834,0.864,0.125,0.230,0.125,0.105,0.288,0.600,5.957
outcome,gravity_without_vertical,46,1,0.807,0.864,0.122,0.203,0.122,0.081,0.307,0.614,6.164
outcome,gravity_without_vertical,47,1,0.840,0.842,0.105,0.194,0.105,0.089,0.257,0.618,6.131
outcome,gravity_without_vertical,48,1,0.820,0.832,0.116,0.177,0.116,0.061,0.251,0.612,6.085
outcome,gravity_without_vertical,49,1,0.822,0.816,0.129,0.184,0.129,0.056,0.267,0.577,5.710
outcome,gravity_without_vertical,50,1,0.829,0.836,0.159,0.238,0.159,0.079,0.323,0.587,5.930
outcome,gravity_without_vertical,51,1,0.840,0.822,0.189,0.259,0.189,0.070,0.338,0.592,6.015
outcome,gravity_without_vertical,52,1,0.831,0.815,0.200,0.266,0.200,0.066,0.361,0.575,5.763
outcome,gravity_without_vertical,53,1,0.822,0.782,0.210,0.248,0.210,0.038,0.315,0.576,5.735
outcome,gravity_without_vertical,54,1,0.799,0.780,0.218,0.249,0.218,0.031,0.296,0.581,5.736
outcome,gravity_without_vertical,55,1,0.791,0.810,0.235,0.245,0.235,0.010,0.307,0.568,5.613
outcome,gravity_without_vertical,56,1,0.794,0.799,0.223,0.241,0.223,0.018,0.318,0.560,5.549
outcome,gravity_without_vertical,57,1,0.736,0.824,0.269,0.261,0.261,0.008,0.349,0.553,5.550
outcome,gravity_without_vertical,58,1,0.770,0.820,0.253,0.261,0.253,0.007,0.295,0.553,5.514
outcome,gravity_without_vertical,59,1,0.784,0.793,0.243,0.259,0.243,0.016,0.281,0.551,5.455
outcome,gravity_without_vertical,60,1,0.778,0.769,0.217,0.270,0.217,0.053,0.256,0.537,5.270
outcome,gravity_without_vertical,61,1,0.780,0.765,0.215,0.289,0.215,0.074,0.257,0.561,5.477
outcome,gravity_without_vertical,62,1,0.757,0.721,0.183,0.258,0.183,0.075,0.250,0.555,5.355
outcome,gravity_without_vertical,63,1,0.796,0.725,0.176,0.270,0.176,0.094,0.233,0.579,5.613
outcome,gravity_without_vertical,64,1,0.798,0.747,0.194,0.256,0.194,0.063,0.220,0.576,5.579
outcome,gravity_without_vertical,65,1,0.772,0.734,0.209,0.247,0.209,0.037,0.199,0.563,5.394
outcome,gravity_without_vertical,66,1,0.816,0.766,0.230,0.286,0.230,0.056,0.227,0.594,5.778
outcome,gravity_without_vertical,67,1,0.790,0.787,0.226,0.285,0.226,0.060,0.252,0.577,5.614
outcome,gravity_without_vertical,68,1,0.745,0.779,0.258,0.286,0.258,0.028,0.258,0.579,5.655
outcome,gravity_without_vertical,69,1,0.747,0.808,0.199,0.246,0.199,0.047,0.238,0.599,5.902
outcome,gravity_without_vertical,70,1,0.760,0.784,0.215,0.267,0.215,0.052,0.271,0.590,5.848
outcome,gravity_without_vertical,71,1,0.778,0.762,0.206,0.281,0.206,0.075,0.269,0.593,5.909
outcome,gravity_without_vertical,72,1,0.774,0.743,0.216,0.305,0.216,0.089,0.328,0.585,5.858
outcome,gravity_without_vertical,73,1,0.760,0.788,0.220,0.333,0.220,0.113,0.279,0.582,5.730
outcome,gravity_without_vertical,74,1,0.756,0.806,0.205,0.353,0.205,0.149,0.258,0.587,5.759
outcome,gravity_without_vertical,75,1,0.745,0.821,0.237,0.392,0.237,0.154,0.275,0.592,5.847
outcome,gravity_without_vertical,76,1,0.807,0.814,0.236,0.365,0.236,0.129,0.256,0.591,5.836
outcome,gravity_without_vertical,77,1,0.812,0.822,0.237,0.417,0.237,0.180,0.257,0.601,5.925
outcome,gravity_without_vertical,78,1,0.832,0.838,0.250,0.404,0.250,0.153,0.260,0.592,5.862
outcome,gravity_without_vertical,79,1,0.839,0.843,0.265,0.364,0.265,0.100,0.276,0.611,6.132
outcome,gravity_without_vertical,80,1,0.796,0.809,0.305,0.353,0.305,0.048,0.295,0.592,5.871
outcome,gravity_without_vertical,81,1,0.809,0.790,0.351,0.378,0.351,0.027,0.343,0.597,6.029
outcome,gravity_without_vertical,82,1,0.801,0.775,0.389,0.402,0.389,0.013,0.401,0.599,6.142
outcome,gravity_without_vertical,83,1,0.802,0.724,0.399,0.388,0.388,0.011,0.407,0.585,5.930
outcome,gravity_without_vertical,84,1,0.792,0.697,0.405,0.349,0.349,0.056,0.428,0.577,5.894
outcome,gravity_without_vertical,85,1,0.803,0.726,0.408,0.340,0.340,0.068,0.428,0.579,5.953
outcome,gravity_without_vertical,86,1,0.765,0.692,0.409,0.345,0.345,0.064,0.429,0.562,5.746
outcome,gravity_without_vertical,87,1,0.743,0.723,0.340,0.274,0.274,0.066,0.372,0.552,5.538
outcome,gravity_without_vertical,88,1,0.764,0.744,0.338,0.247,0.247,0.090,0.337,0.561,5.621
outcome,gravity_without_vertical,89,1,0.758,0.775,0.314,0.213,0.213,0.101,0.284,0.568,5.626
outcome,gravity_without_vertical,90,1,0.770,0.801,0.333,0.219,0.219,0.114,0.290,0.574,5.721
outcome,gravity_without_vertical,91,1,0.797,0.840,0.322,0.210,0.210,0.112,0.297,0.573,5.739
outcome,gravity_without_vertical,92,1,0.794,0.839,0.353,0.257,0.257,0.096,0.317,0.568,5.716
outcome,gravity_without_vertical,93,1,0.782,0.872,0.339,0.233,0.233,0.106,0.313,0.555,5.554
outcome,gravity_without_vertical,94,1,0.792,0.854,0.347,0.247,0.247,0.100,0.322,0.544,5.456
outcome,gravity_without_vertical,95,1,0.827,0.838,0.406,0.318,0.318,0.088,0.375,0.558,5.771
outcome,gravity_without_vertical,96,1,0.835,0.833,0.471,0.417,0.417,0.053,0.401,0.550,5.724
outcome,gravity_without_vertical,97,1,0.877,0.854,0.480,0.444,0.444,0.036,0.393,0.563,5.876
outcome,gravity_without_vertical,98,1,0.881,0.852,0.529,0.422,0.422,0.107,0.415,0.566,5.921
outcome,gravity_without_vertical,99,1,0.895,0.857,0.547,0.407,0.407,0.140,0.406,0.580,6.072
outcome,gravity_without_vertical,100,1,0.878,0.846,0.552,0.401,0.401,0.151,0.432,0.572,6.016
outcome,gravity_without_vertical,101,1,0.867,0.821,0.549,0.386,0.386,0.162,0.436,0.583,6.177
outcome,gravity_without_vertical,102,1,0.888,0.789,0.582,0.435,0.435,0.147,0.512,0.607,6.600
outcome,gravity_without_vertical,103,1,0.883,0.781,0.599,0.474,0.474,0.125,0.530,0.593,6.438
outcome,gravity_without_vertical,104,1,0.876,0.779,0.663,0.559,0.559,0.104,0.621,0.585,6.514
outcome,gravity_without_vertical,105,1,0.849,0.807,0.650,0.546,0.546,0.104,0.557,0.592,6.521
outcome,gravity_without_vertical,106,1,0.832,0.776,0.702,0.603,0.603,0.099,0.612,0.585,6.458
outcome,gravity_without_vertical,107,1,0.836,0.781,0.655,0.526,0.526,0.128,0.565,0.577,6.312
outcome,gravity_without_vertical,108,1,0.850,0.744,0.658,0.549,0.549,0.109,0.619,0.572,6.276
outcome,gravity_without_vertical,109,1,0.838,0.722,0.700,0.582,0.582,0.117,0.660,0.582,6.451
outcome,gravity_without_vertical,110,1,0.807,0.718,0.699,0.599,0.599,0.099,0.624,0.583,6.423
outcome,gravity_without_vertical,111,1,0.771,0.782,0.749,0.664,0.664,0.085,0.679,0.576,6.420
outcome,gravity_without_vertical,112,1,0.739,0.753,0.737,0.694,0.694,0.043,0.699,0.581,6.472
outcome,gravity_without_vertical,113,1,0.744,0.756,0.733,0.678,0.678,0.055,0.685,0.584,6.486
outcome,gravity_without_vertical,114,1,0.766,0.783,0.679,0.600,0.600,0.079,0.611,0.589,6.427
outcome,gravity_without_vertical,115,1,0.745,0.831,0.735,0.715,0.715,0.020,0.727,0.579,6.533
outcome,gravity_without_vertical,116,1,0.741,0.866,0.787,0.818,0.787,0.032,0.805,0.582,6.684
outcome,gravity_without_vertical,117,1,0.743,0.874,0.773,0.771,0.771,0.002,0.768,0.574,6.506
