group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
outcome,gravity_without_vertical,118,1,0.766,0.875,0.709,0.692,0.692,0.017,0.705,0.582,6.533
outcome,gravity_without_vertical,119,1,0.782,0.866,0.703,0.708,0.703,0.006,0.715,0.573,6.399
outcome,gravity_without_vertical,120,1,0.796,0.869,0.732,0.718,0.718,0.014,0.721,0.571,6.488
outcome,partial_transposition,0,1,0.082,0.119,0.000,0.000,0.000,0.000,0.000,0.160,1.122
outcome,partial_transposition,1,1,0.094,0.118,0.031,0.035,0.031,0.003,0.021,0.200,1.479
outcome,partial_transposition,2,1,0.088,0.115,0.056,0.058,0.056,0.002,0.040,0.252,1.992
outcome,partial_transposition,3,1,0.090,0.140,0.065,0.056,0.056,0.009,0.045,0.287,2.312
outcome,partial_transposition,4,1,0.105,0.156,0.095,0.089,0.089,0.007,0.075,0.320,2.637
outcome,partial_transposition,5,1,0.099,0.158,0.101,0.113,0.101,0.012,0.104,0.322,2.671
outcome,partial_transposition,6,1,0.103,0.193,0.094,0.097,0.094,0.003,0.119,0.358,3.055
outcome,partial_transposition,7,1,0.087,0.193,0.086,0.094,0.086,0.008,0.112,0.390,3.326
outcome,partial_transposition,8,1,0.101,0.201,0.088,0.092,0.088,0.005,0.134,0.416,3.586
outcome,partial_transposition,9,1,0.117,0.231,0.104,0.113,0.104,0.008,0.178,0.418,3.640
outcome,partial_transposition,10,1,0.108,0.230,0.083,0.086,0.083,0.003,0.204,0.419,3.681
outcome,partial_transposition,11,1,0.120,0.278,0.077,0.068,0.068,0.009,0.204,0.431,3.832
outcome,partial_transposition,12,1,0.122,0.312,0.073,0.065,0.065,0.008,0.218,0.446,3.973
outcome,partial_transposition,13,1,0.156,0.329,0.104,0.085,0.085,0.019,0.248,0.464,4.153
outcome,partial_transposition,14,1,0.165,0.278,0.124,0.101,0.101,0.023,0.273,0.478,4.302
outcome,partial_transposition,15,1,0.195,0.304,0.150,0.117,0.117,0.033,0.306,0.476,4.318
outcome,partial_transposition,16,1,0.216,0.373,0.176,0.129,0.129,0.047,0.348,0.484,4.462
outcome,partial_transposition,17,1,0.267,0.379,0.202,0.125,0.125,0.077,0.352,0.488,4.555
outcome,partial_transposition,18,1,0.280,0.412,0.203,0.143,0.143,0.059,0.390,0.492,4.640
outcome,partial_transposition,19,1,0.281,0.438,0.177,0.139,0.139,0.038,0.428,0.495,4.719
outcome,partial_transposition,20,1,0.313,0.471,0.207,0.132,0.132,0.074,0.458,0.486,4.637
outcome,partial_transposition,21,1,0.298,0.502,0.215,0.138,0.138,0.077,0.473,0.496,4.844
outcome,partial_transposition,22,1,0.328,0.509,0.244,0.180,0.180,0.064,0.458,0.489,4.684
outcome,partial_transposition,23,1,0.367,0.546,0.210,0.154,0.154,0.055,0.509,0.502,4.949
outcome,partial_transposition,24,1,0.385,0.581,0.168,0.128,0.128,0.040,0.511,0.515,5.104
outcome,partial_transposition,25,1,0.400,0.601,0.198,0.151,0.151,0.046,0.501,0.507,5.023
outcome,partial_transposition,26,1,0.361,0.572,0.177,0.132,0.132,0.046,0.532,0.500,4.927
outcome,partial_transposition,27,1,0.359,0.588,0.152,0.112,0.112,0.040,0.533,0.497,4.886
outcome,partial_transposition,28,1,0.394,0.596,0.160,0.114,0.114,0.046,0.542,0.502,4.939
outcome,partial_transposition,29,1,0.454,0.590,0.152,0.104,0.104,0.048,0.554,0.504,4.994
outcome,partial_transposition,30,1,0.440,0.641,0.181,0.102,0.102,0.079,0.564,0.515,5.119
outcome,partial_transposition,31,1,0.445,0.683,0.209,0.126,0.126,0.083,0.601,0.512,5.173
outcome,partial_transposition,32,1,0.493,0.671,0.200,0.119,0.119,0.080,0.605,0.510,5.115
outcome,partial_transposition,33,1,0.531,0.704,0.206,0.135,0.135,0.071,0.555,0.524,5.287
outcome,partial_transposition,34,1,0.540,0.712,0.208,0.118,0.118,0.090,0.513,0.534,5.359
outcome,partial_transposition,35,1,0.488,0.716,0.222,0.113,0.113,0.109,0.505,0.533,5.323
outcome,partial_transposition,36,1,0.478,0.755,0.225,0.120,0.120,0.105,0.487,0.534,5.299
outcome,partial_transposition,37,1,0.500,0.766,0.223,0.105,0.105,0.118,0.436,0.544,5.310
outcome,partial_transposition,38,1,0.459,0.750,0.225,0.125,0.125,0.101,0.446,0.542,5.306
outcome,partial_transposition,39,1,0.459,0.738,0.247,0.144,0.144,0.103,0.408,0.552,5.373
outcome,partial_transposition,40,1,0.500,0.755,0.290,0.150,0.150,0.141,0.355,0.560,5.408
outcome,partial_transposition,41,1,0.532,0.785,0.280,0.145,0.145,0.135,0.310,0.582,5.650
outcome,partial_transposition,42,1,0.559,0.803,0.303,0.142,0.142,0.161,0.325,0.569,5.497
outcome,partial_transposition,43,1,0.546,0.773,0.274,0.156,0.156,0.118,0.342,0.561,5.459
outcome,partial_transposition,44,1,0.480,0.759,0.273,0.148,0.148,0.125,0.353,0.546,5.272
outcome,partial_transposition,45,1,0.525,0.733,0.311,0.173,0.173,0.138,0.350,0.554,5.389
outcome,partial_transposition,46,1,0.531,0.742,0.369,0.222,0.222,0.147,0.353,0.542,5.246
outcome,partial_transposition,47,1,0.550,0.764,0.327,0.208,0.208,0.119,0.362,0.543,5.298
outcome,partial_transposition,48,1,0.550,0.788,0.313,0.220,0.220,0.093,0.391,0.547,5.357
outcome,partial_transposition,49,1,0.615,0.799,0.321,0.217,0.217,0.104,0.390,0.552,5.414
outcome,partial_transposition,50,1,0.663,0.776,0.293,0.183,0.183,0.110,0.386,0.557,5.463
outcome,partial_transposition,51,1,0.690,0.822,0.243,0.155,0.155,0.088,0.398,0.576,5.771
outcome,partial_transposition,52,1,0.698,0.800,0.276,0.149,0.149,0.126,0.387,0.562,5.555
outcome,partial_transposition,53,1,0.638,0.782,0.225,0.120,0.120,0.105,0.403,0.569,5.659
outcome,partial_transposition,54,1,0.642,0.769,0.236,0.142,0.142,0.093,0.411,0.562,5.604
outcome,partial_transposition,55,1,0.705,0.845,0.269,0.142,0.142,0.126,0.439,0.580,5.932
outcome,partial_transposition,56,1,0.674,0.842,0.297,0.144,0.144,0.153,0.449,0.563,5.681
outcome,partial_transposition,57,1,0.671,0.829,0.277,0.139,0.139,0.137,0.427,0.576,5.793
outcome,partial_transposition,58,1,0.699,0.841,0.251,0.105,0.105,0.145,0.441,0.571,5.763
outcome,partial_transposition,59,1,0.685,0.828,0.233,0.085,0.085,0.148,0.453,0.559,5.535
outcome,partial_transposition,60,1,0.717,0.831,0.241,0.080,0.080,0.161,0.447,0.572,5.757
outcome,partial_transposition,61,1,0.641,0.787,0.237,0.092,0.092,0.145,0.452,0.548,5.395
outcome,partial_transposition,62,1,0.654,0.786,0.197,0.097,0.097,0.099,0.458,0.552,5.491
outcome,partial_transposition,63,1,0.661,0.799,0.185,0.106,0.106,0.078,0.454,0.558,5.615
outcome,partial_transposition,64,1,0.701,0.856,0.208,0.126,0.126,0.083,0.452,0.567,5.754
outcome,partial_transposition,65,1,0.748,0.830,0.167,0.106,0.106,0.061,0.454,0.570,5.737
outcome,partial_transposition,66,1,0.789,0.859,0.162,0.114,0.114,0.048,0.465,0.575,5.815
outcome,partial_transposition,67,1,0.800,0.881,0.162,0.111,0.111,0.051,0.515,0.574,5.892
outcome,partial_transposition,68,1,0.804,0.864,0.185,0.127,0.127,0.058,0.536,0.560,5.691
outcome,partial_transposition,69,1,0.802,0.860,0.177,0.131,0.131,0.045,0.513,0.551,5.548
outcome,partial_transposition,70,1,0.777,0.879,0.208,0.174,0.174,0.034,0.532,0.554,5.651
outcome,partial_transposition,71,1,0.782,0.865,0.246,0.210,0.210,0.036,0.519,0.548,5.517
outcome,partial_transposition,72,1,0.807,0.865,0.238,0.193,0.193,0.045,0.513,0.562,5.678
outcome,partial_transposition,73,1,0.821,0.889,0.231,0.173,0.173,0.058,0.520,0.559,5.663
outcome,partial_transposition,74,1,0.807,0.877,0.209,0.166,0.166,0.042,0.504,0.560,5.711
outcome,partial_transposition,75,1,0.789,0.866,0.183,0.170,0.170,0.013,0.496,0.557,5.629
outcome,partial_transposition,76,1,0.821,0.865,0.193,0.171,0.171,0.022,0.525,0.569,5.898
outcome,partial_transposition,77,1,0.837,0.846,0.160,0.165,0.160,0.005,0.514,0.566,5.826
outcome,partial_transposition,78,1,0.813,0.864,0.198,0.207,0.198,0.009,0.519,0.563,5.807
outcome,partial_transposition,79,1,0.801,0.855,0.194,0.173,0.173,0.022,0.511,0.557,5.710
outcome,partial_transposition,80,1,0.800,0.850,0.223,0.178,0.178,0.045,0.497,0.565,5.824
outcome,partial_transposition,81,1,0.779,0.860,0.237,0.199,0.199,0.038,0.502,0.555,5.690
outcome,partial_transposition,82,1,0.791,0.810,0.221,0.199,0.199,0.021,0.470,0.546,5.552
outcome,partial_transposition,83,1,0.781,0.825,0.250,0.212,0.212,0.038,0.484,0.560,5.694
outcome,partial_transposition,84,1,0.798,0.827,0.253,0.201,0.201,0.053,0.499,0.546,5.555
outcome,partial_transposition,85,1,0.762,0.801,0.229,0.206,0.206,0.023,0.497,0.538,5.458
outcome,partial_transposition,86,1,0.754,0.813,0.272,0.255,0.255,0.017,0.496,0.540,5.414
outcome,partial_transposition,87,1,0.759,0.782,0.257,0.224,0.224,0.033,0.468,0.554,5.552
outcome,partial_transposition,88,1,0.764,0.796,0.276,0.217,0.217,0.059,0.415,0.557,5.484
outcome,partial_transposition,89,1,0.752,0.801,0.263,0.224,0.224,0.039,0.358,0.581,5.725
outcome,partial_transposition,90,1,0.747,0.779,0.289,0.231,0.231,0.059,0.364,0.577,5.657
outcome,partial_transposition,91,1,0.762,0.783,0.318,0.245,0.245,0.073,0.372,0.579,5.701
outcome,partial_transposition,92,1,0.779,0.804,0.357,0.245,0.245,0.112,0.349,0.593,5.854
outcome,partial_transposition,93,1,0.780,0.839,0.379,0.265,0.265,0.114,0.345,0.598,5.991
outcome,partial_transposition,94,1,0.804,0.858,0.437,0.265,0.265,0.172,0.305,0.588,5.747
outcome,partial_transposition,95,1,0.786,0.854,0.390,0.267,0.267,0.123,0.301,0.590,5.778
outcome,partial_transposition,96,1,0.777,0.865,0.376,0.247,0.247,0.129,0.289,0.596,5.835
outcome,partial_transposition,97,1,0.726,0.848,0.342,0.246,0.246,0.096,0.334,0.577,5.644
outcome,partial_transposition,98,1,0.742,0.845,0.367,0.260,0.260,0.107,0.342,0.570,5.600
outcome,partial_transposition,99,1,0.754,0.871,0.334,0.257,0.257,0.077,0.338,0.571,5.672
outcome,partial_transposition,100,1,0.780,0.842,0.325,0.250,0.250,0.075,0.331,0.574,5.618
outcome,partial_transposition,101,1,0.750,0.838,0.324,0.265,0.265,0.059,0.342,0.579,5.730
outcome,partial_transposition,102,1,0.765,0.827,0.316,0.254,0.254,0.062,0.350,0.581,5.773
outcome,partial_transposition,103,1,0.781,0.855,0.322,0.259,0.259,0.064,0.302,0.568,5.551
outcome,partial_transposition,104,1,0.797,0.859,0.314,0.259,0.259,0.055,0.314,0.582,5.719
outcome,partial_transposition,105,1,0.837,0.849,0.276,0.248,0.248,0.028,0.319,0.576,5.621
outcome,partial_transposition,106,1,0.829,0.828,0.319,0.267,0.267,0.052,0.254,0.579,5.573
outcome,partial_transposition,107,1,0.823,0.819,0.335,0.320,0.320,0.014,0.288,0.583,5.651
outcome,partial_transposition,108,1,0.792,0.820,0.341,0.335,0.335,0.006,0.275,0.564,5.347
outcome,partial_transposition,109,1,0.752,0.827,0.333,0.389,0.333,0.056,0.278,0.572,5.508
outcome,partial_transposition,110,1,0.740,0.827,0.331,0.371,0.331,0.041,0.278,0.560,5.414
outcome,partial_transposition,111,1,0.776,0.822,0.305,0.355,0.305,0.050,0.241,0.577,5.585
outcome,partial_transposition,112,1,0.754,0.848,0.272,0.337,0.272,0.064,0.279,0.570,5.533
outcome,partial_transposition,113,1,0.830,0.834,0.245,0.284,0.245,0.039,0.222,0.584,5.639
outcome,partial_transposition,114,1,0.827,0.838,0.248,0.313,0.248,0.066,0.252,0.583,5.633
outcome,partial_transposition,115,1,0.848,0.809,0.218,0.249,0.218,0.031,0.248,0.582,5.664
outcome,partial_transposition,116,1,0.819,0.814,0.213,0.262,0.213,0.048,0.271,0.565,5.547
outcome,partial_transposition,117,1,0.753,0.802,0.241,0.314,0.241,0.073,0.255,0.559,5.400
outcome,partial_transposition,118,1,0.757,0.777,0.284,0.284,0.284,0.000,0.228,0.538,5.139
outcome,partial_transposition,119,1,0.725,0.794,0.301,0.331,0.301,0.029,0.203,0.579,5.527
outcome,partial_transposition,120,1,0.710,0.809,0.319,0.350,0.319,0.031,0.186,0.582,5.505
outcome,success,0,5,0.072,0.120,0.000,0.000,0.000,0.000,0.000,0.166,1.168
outcome,success,1,5,0.073,0.116,0.026,0.028,0.026,0.002,0.029,0.203,1.511
outcome,success,2,5,0.093,0.123,0.045,0.048,0.043,0.008,0.052,0.247,1.937
outcome,success,3,5,0.099,0.127,0.063,0.061,0.060,0.004,0.068,0.282,2.292
outcome,success,4,5,0.107,0.127,0.081,0.074,0.070,0.015,0.086,0.305,2.523
outcome,success,5,5,0.128,0.135,0.089,0.090,0.083,0.011,0.114,0.330,2.770
outcome,success,6,5,0.139,0.134,0.103,0.106,0.101,0.007,0.136,0.353,3.007
outcome,success,7,5,0.139,0.123,0.108,0.105,0.105,0.003,0.152,0.375,3.223
outcome,success,8,5,0.148,0.130,0.118,0.126,0.116,0.012,0.168,0.381,3.300
outcome,success,9,5,0.145,0.156,0.125,0.141,0.125,0.016,0.182,0.396,3.445
outcome,success,10,5,0.156,0.164,0.117,0.133,0.114,0.021,0.178,0.410,3.577
outcome,success,11,5,0.158,0.179,0.120,0.131,0.109,0.033,0.192,0.422,3.695
outcome,success,12,5,0.177,0.173,0.131,0.144,0.126,0.024,0.216,0.431,3.803
outcome,success,13,5,0.200,0.186,0.129,0.161,0.125,0.039,0.233,0.439,3.899
outcome,success,14,5,0.199,0.203,0.124,0.154,0.120,0.037,0.236,0.443,3.922
outcome,success,15,5,0.216,0.227,0.132,0.165,0.132,0.034,0.244,0.449,4.003
outcome,success,16,5,0.208,0.213,0.149,0.169,0.141,0.035,0.253,0.448,3.983
outcome,success,17,5,0.202,0.224,0.147,0.161,0.140,0.028,0.261,0.456,4.083
outcome,success,18,5,0.202,0.223,0.160,0.171,0.153,0.026,0.285,0.458,4.119
outcome,success,19,5,0.205,0.234,0.173,0.182,0.156,0.042,0.296,0.463,4.181
outcome,success,20,5,0.224,0.237,0.181,0.192,0.170,0.034,0.313,0.464,4.220
outcome,success,21,5,0.232,0.241,0.190,0.193,0.179,0.025,0.332,0.470,4.262
outcome,success,22,5,0.230,0.255,0.188,0.190,0.178,0.023,0.355,0.472,4.328
outcome,success,23,5,0.234,0.281,0.203,0.211,0.194,0.026,0.361,0.480,4.420
outcome,success,24,5,0.227,0.302,0.200,0.214,0.190,0.035,0.371,0.481,4.429
outcome,success,25,5,0.238,0.319,0.211,0.212,0.196,0.031,0.380,0.479,4.425
outcome,success,26,5,0.246,0.290,0.229,0.235,0.214,0.035,0.413,0.478,4.464
outcome,success,27,5,0.293,0.312,0.215,0.238,0.208,0.036,0.424,0.479,4.504
outcome,success,28,5,0.302,0.306,0.212,0.236,0.204,0.040,0.405,0.485,4.539
outcome,success,29,5,0.341,0.313,0.215,0.225,0.204,0.033,0.413,0.489,4.616
outcome,success,30,5,0.390,0.345,0.230,0.236,0.218,0.030,0.415,0.489,4.618
outcome,success,31,5,0.421,0.333,0.248,0.248,0.225,0.045,0.434,0.488,4.624
outcome,success,32,5,0.439,0.319,0.265,0.263,0.238,0.053,0.454,0.488,4.671
outcome,success,33,5,0.479,0.334,0.256,0.263,0.240,0.039,0.475,0.488,4.698
outcome,success,34,5,0.493,0.345,0.260,0.263,0.251,0.022,0.477,0.489,4.716
outcome,success,35,5,0.521,0.310,0.261,0.270,0.259,0.013,0.520,0.483,4.691
outcome,success,36,5,0.537,0.328,0.252,0.270,0.247,0.028,0.559,0.485,4.766
outcome,success,37,5,0.560,0.319,0.262,0.271,0.248,0.036,0.586,0.484,4.789
outcome,success,38,5,0.559,0.361,0.260,0.262,0.242,0.037,0.565,0.495,4.890
outcome,success,39,5,0.557,0.351,0.274,0.270,0.249,0.047,0.551,0.502,4.950
outcome,success,40,5,0.562,0.339,0.274,0.275,0.250,0.050,0.553,0.504,4.951
outcome,success,41,5,0.573,0.348,0.269,0.275,0.243,0.057,0.562,0.507,4.994
outcome,success,42,5,0.572,0.349,0.277,0.281,0.250,0.057,0.578,0.507,5.022
outcome,success,43,5,0.554,0.353,0.254,0.262,0.233,0.051,0.585,0.503,4.986
outcome,success,44,5,0.551,0.351,0.255,0.286,0.246,0.050,0.601,0.497,4.939
outcome,success,45,5,0.542,0.364,0.255,0.284,0.248,0.044,0.597,0.495,4.910
outcome,success,46,5,0.532,0.365,0.245,0.269,0.236,0.042,0.594,0.497,4.937
outcome,success,47,5,0.537,0.361,0.234,0.268,0.229,0.043,0.594,0.498,4.924
outcome,success,48,5,0.547,0.373,0.240,0.263,0.227,0.048,0.604,0.506,5.059
outcome,success,49,5,0.535,0.371,0.239,0.264,0.225,0.052,0.606,0.507,5.066
outcome,success,50,5,0.531,0.380,0.230,0.248,0.205,0.069,0.595,0.507,5.035
outcome,success,51,5,0.560,0.418,0.250,0.257,0.220,0.066,0.571,0.507,5.029
outcome,success,52,5,0.581,0.442,0.251,0.248,0.216,0.067,0.550,0.512,5.074
outcome,success,53,5,0.580,0.443,0.265,0.267,0.237,0.059,0.562,0.509,5.062
outcome,success,54,5,0.635,0.456,0.279,0.281,0.256,0.048,0.584,0.510,5.112
outcome,success,55,5,0.641,0.434,0.296,0.296,0.273,0.045,0.606,0.507,5.096
outcome,success,56,5,0.622,0.432,0.293,0.298,0.271,0.048,0.625,0.510,5.163
outcome,success,57,5,0.616,0.415,0.319,0.334,0.305,0.042,0.661,0.505,5.133
outcome,success,58,5,0.640,0.440,0.330,0.336,0.313,0.041,0.646,0.507,5.167
outcome,success,59,5,0.616,0.462,0.316,0.319,0.289,0.056,0.626,0.511,5.178
outcome,success,60,5,0.610,0.492,0.337,0.325,0.316,0.030,0.639,0.514,5.274
outcome,success,61,5,0.602,0.481,0.326,0.299,0.297,0.031,0.653,0.510,5.216
outcome,success,62,5,0.620,0.504,0.358,0.324,0.323,0.036,0.634,0.517,5.270
outcome,success,63,5,0.611,0.508,0.357,0.319,0.318,0.039,0.639,0.517,5.279
outcome,success,64,5,0.611,0.522,0.341,0.303,0.303,0.039,0.625,0.518,5.308
outcome,success,65,5,0.606,0.517,0.357,0.323,0.321,0.037,0.621,0.512,5.210
outcome,success,66,5,0.623,0.528,0.372,0.347,0.343,0.033,0.635,0.520,5.335
outcome,success,67,5,0.628,0.538,0.374,0.341,0.336,0.043,0.635,0.525,5.401
outcome,success,68,5,0.607,0.532,0.389,0.363,0.349,0.054,0.638,0.528,5.427
outcome,success,69,5,0.612,0.543,0.374,0.347,0.340,0.040,0.654,0.521,5.381
outcome,success,70,5,0.630,0.554,0.417,0.383,0.374,0.053,0.669,0.520,5.431
outcome,success,71,5,0.645,0.577,0.444,0.405,0.401,0.047,0.684,0.521,5.482
outcome,success,72,5,0.659,0.568,0.470,0.433,0.426,0.051,0.689,0.518,5.435
outcome,success,73,5,0.706,0.613,0.493,0.455,0.449,0.050,0.699,0.528,5.647
outcome,success,74,5,0.714,0.649,0.528,0.497,0.491,0.043,0.728,0.536,5.833
outcome,success,75,5,0.726,0.682,0.532,0.505,0.500,0.037,0.720,0.538,5.828
outcome,success,76,5,0.741,0.698,0.599,0.577,0.567,0.042,0.751,0.550,6.066
outcome,success,77,5,0.752,0.709,0.591,0.582,0.565,0.043,0.745,0.550,6.020
outcome,success,78,5,0.756,0.701,0.571,0.565,0.546,0.043,0.731,0.555,6.033
outcome,success,79,5,0.773,0.725,0.607,0.610,0.587,0.044,0.755,0.562,6.216
outcome,success,80,5,0.766,0.734,0.673,0.652,0.641,0.043,0.760,0.564,6.236
outcome,success,81,5,0.776,0.729,0.697,0.676,0.665,0.043,0.768,0.570,6.365
outcome,success,82,5,0.768,0.744,0.739,0.742,0.723,0.035,0.797,0.579,6.555
outcome,success,83,5,0.768,0.719,0.763,0.780,0.756,0.032,0.823,0.580,6.607
outcome,success,84,5,0.752,0.728,0.777,0.788,0.770,0.024,0.835,0.585,6.701
outcome,success,85,5,0.764,0.752,0.804,0.810,0.800,0.015,0.864,0.589,6.831
outcome,success,86,5,0.759,0.756,0.820,0.819,0.809,0.021,0.859,0.589,6.837
outcome,success,87,5,0.762,0.782,0.827,0.834,0.823,0.014,0.843,0.589,6.829
outcome,success,88,5,0.762,0.787,0.822,0.833,0.819,0.017,0.853,0.594,6.927
outcome,success,89,5,0.763,0.802,0.817,0.827,0.810,0.023,0.859,0.590,6.907
outcome,success,90,5,0.756,0.816,0.830,0.843,0.824,0.024,0.856,0.591,6.937
outcome,success,91,5,0.763,0.828,0.826,0.835,0.820,0.021,0.859,0.593,6.967
outcome,success,92,5,0.741,0.842,0.819,0.832,0.814,0.024,0.855,0.587,6.874
outcome,success,93,5,0.737,0.825,0.826,0.831,0.817,0.023,0.868,0.586,6.866
outcome,success,94,5,0.730,0.827,0.832,0.834,0.817,0.030,0.855,0.588,6.891
outcome,success,95,5,0.737,0.830,0.840,0.831,0.821,0.029,0.846,0.581,6.760
outcome,success,96,5,0.742,0.816,0.841,0.833,0.822,0.029,0.850,0.576,6.704
outcome,success,97,5,0.724,0.805,0.848,0.830,0.823,0.032,0.841,0.570,6.607
outcome,success,98,5,0.736,0.798,0.838,0.813,0.806,0.039,0.845,0.572,6.612
outcome,success,99,5,0.733,0.804,0.836,0.822,0.811,0.035,0.861,0.574,6.701
outcome,success,100,5,0.752,0.804,0.838,0.830,0.813,0.041,0.870,0.578,6.751
outcome,success,101,5,0.737,0.818,0.838,0.830,0.811,0.046,0.863,0.573,6.657
outcome,success,102,5,0.740,0.800,0.839,0.826,0.807,0.051,0.865,0.576,6.720
outcome,success,103,5,0.740,0.823,0.846,0.844,0.825,0.041,0.861,0.572,6.669
outcome,success,104,5,0.749,0.826,0.857,0.857,0.842,0.030,0.863,0.575,6.725
outcome,success,105,5,0.751,0.829,0.852,0.838,0.828,0.035,0.860,0.579,6.769
outcome,success,106,5,0.742,0.829,0.866,0.851,0.840,0.036,0.859,0.579,6.753
outcome,success,107,5,0.739,0.823,0.866,0.854,0.847,0.026,0.865,0.579,6.784
outcome,success,108,5,0.751,0.818,0.869,0.861,0.850,0.030,0.862,0.582,6.824
outcome,success,109,5,0.728,0.828,0.873,0.872,0.856,0.034,0.858,0.579,6.766
outcome,success,110,5,0.715,0.836,0.873,0.865,0.845,0.047,0.852,0.582,6.791
outcome,success,111,5,0.711,0.845,0.873,0.869,0.851,0.039,0.869,0.584,6.866
outcome,success,112,5,0.701,0.851,0.864,0.873,0.852,0.033,0.866,0.585,6.885
outcome,success,113,5,0.710,0.840,0.873,0.885,0.866,0.026,0.865,0.584,6.870
outcome,success,114,5,0.713,0.854,0.864,0.886,0.861,0.027,0.870,0.583,6.868
outcome,success,115,5,0.724,0.838,0.864,0.890,0.861,0.033,0.868,0.586,6.893
outcome,success,116,5,0.701,0.852,0.862,0.887,0.858,0.032,0.868,0.589,6.921
outcome,success,117,5,0.708,0.829,0.869,0.881,0.858,0.035,0.869,0.596,7.015
outcome,success,118,5,0.709,0.841,0.855,0.873,0.848,0.032,0.881,0.591,6.967
outcome,success,119,5,0.695,0.829,0.850,0.862,0.839,0.034,0.879,0.585,6.859
outcome,success,120,5,0.702,0.822,0.837,0.861,0.829,0.040,0.884,0.585,6.857
