point,parameter,parameter_value,is_baseline,generations,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,group_kind,group,runs,seeds,stable_fraction,reached_gravity_fraction,retained_vertical_fraction,collapse_fraction,mean_gravity_reach_generation,mean_vertical_reach_generation,mean_partial_tilt_generation,mean_partial_transposition_generation,mean_max_comb_tilt,mean_max_min_transposition,mean_min_success,mean_final_directional_bias,mean_final_attention,mean_final_min_transposition,mean_final_transposition_gap,mean_final_comb_tilt,mean_final_success,mean_final_payoff
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.020,0.000,0.000,40.000,58.000,33.167,40.050,0.364,0.379,0.164,0.804,0.815,0.203,0.072,0.177,0.580,3.800
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.020,0.000,0.000,40.000,58.000,33.167,40.050,0.364,0.379,0.164,0.804,0.815,0.203,0.072,0.177,0.580,3.800
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,flat,80,"301,302,303,305,306,309,310,311,313,314,315,316,317,318,321,323,324,325,327,329,330,331,332,333,334,335,336,337,338,339,341,342,343,344,345,347,348,349,351,352,354,356,357,358,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,382,383,384,385,386,387,388,389,390,391,393,394,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,39.000,41.675,0.348,0.369,0.163,0.808,0.816,0.188,0.077,0.178,0.583,3.824
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,gravity_without_vertical,2,"353,396",0.000,1.000,0.000,0.000,40.000,58.000,44.000,21.500,0.622,0.716,0.172,0.832,0.889,0.117,0.060,0.208,0.603,3.970
generations_240_alpha_0p1_mut_0p075_rho_0p3,generations,240,false,240,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,partial_transposition,18,"300,304,307,308,312,319,320,322,326,328,340,346,350,355,359,381,392,395",0.000,0.000,0.000,0.000,not_reached,not_reached,25.667,34.889,0.404,0.385,0.165,0.781,0.805,0.280,0.051,0.166,0.565,3.676
generations_480_alpha_0p1_mut_0p075_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.020,0.000,0.000,40.000,58.000,33.167,40.050,0.378,0.399,0.164,0.804,0.827,0.210,0.076,0.169,0.582,3.816
generations_480_alpha_0p1_mut_0p075_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,comparison,unsuccessful,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.020,0.000,0.000,40.000,58.000,33.167,40.050,0.378,0.399,0.164,0.804,0.827,0.210,0.076,0.169,0.582,3.816
generations_480_alpha_0p1_mut_0p075_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,flat,73,"300,301,303,304,306,309,310,311,312,314,315,317,318,319,321,322,323,327,328,329,330,332,333,334,335,336,337,338,341,343,344,345,346,347,348,349,350,351,352,354,355,356,358,359,360,361,362,363,365,366,367,368,369,370,371,373,374,375,377,380,381,384,385,386,387,388,390,391,393,395,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,27.750,40.192,0.367,0.390,0.164,0.803,0.828,0.181,0.079,0.172,0.583,3.844
generations_480_alpha_0p1_mut_0p075_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,gravity_without_vertical,2,"353,396",0.000,1.000,0.000,0.000,40.000,58.000,44.000,21.500,0.622,0.716,0.172,0.800,0.793,0.243,0.042,0.166,0.570,3.725
generations_480_alpha_0p1_mut_0p075_rho_0p3,generations,480,false,480,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,partial_transposition,25,"302,305,307,308,313,316,320,324,325,326,331,339,340,342,357,364,372,376,378,379,382,383,389,392,394",0.000,0.000,0.000,0.000,not_reached,not_reached,44.000,41.120,0.392,0.400,0.163,0.806,0.826,0.293,0.071,0.161,0.579,3.742
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,all,all,100,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.010,0.060,0.010,0.000,428.500,390.500,129.571,40.050,0.399,0.432,0.164,0.804,0.821,0.215,0.076,0.180,0.583,3.815
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,comparison,successful,1,345,1.000,1.000,1.000,0.000,707.000,723.000,708.000,25.000,0.941,0.904,0.173,0.798,0.796,0.840,0.008,0.873,0.585,3.992
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,comparison,unsuccessful,99,"300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399",0.000,0.051,0.000,0.000,372.800,58.000,33.167,40.202,0.393,0.427,0.164,0.804,0.821,0.209,0.077,0.173,0.583,3.813
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,flat,76,"300,301,302,303,305,307,309,310,311,312,314,315,317,318,321,322,324,325,327,328,329,330,331,332,333,334,335,336,338,339,340,341,343,344,346,347,348,349,351,354,355,356,358,359,360,361,362,363,364,365,366,367,368,369,373,374,375,376,377,378,380,383,384,385,386,387,388,389,390,391,392,393,394,397,398,399",0.000,0.000,0.000,0.000,not_reached,not_reached,27.750,40.658,0.386,0.415,0.163,0.806,0.816,0.185,0.079,0.176,0.584,3.826
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,gravity_without_vertical,5,"306,326,353,372,396",0.000,1.000,0.000,0.000,372.800,58.000,44.000,24.200,0.559,0.624,0.169,0.793,0.851,0.255,0.074,0.170,0.592,3.861
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,partial_transposition,18,"304,308,313,316,319,320,323,337,342,350,352,357,370,371,379,381,382,395",0.000,0.000,0.000,0.000,not_reached,not_reached,not_reached,42.722,0.377,0.421,0.165,0.800,0.839,0.298,0.067,0.160,0.578,3.745
generations_960_alpha_0p1_mut_0p075_rho_0p3,generations,960,false,960,8,0.270,9,1.000,0.100,6.500,0.055,0.075,0.300,outcome,success,1,345,1.000,1.000,1.000,0.000,707.000,723.000,708.000,25.000,0.941,0.904,0.173,0.798,0.796,0.840,0.008,0.873,0.585,3.992
