number,state,value,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation,stable_count,seed_count,collapse_count,mean_progress,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,elapsed_seconds
0,COMPLETE,0.217,4,0.250,15,1.000,0.420,6.500,0.040,0.130,0.400,0,10,0,0.217,0.362,1.812,0.176,0.216,887.564
1,COMPLETE,2.817,9,0.440,7,1.000,0.320,6.500,0.045,0.090,1.000,2,10,0,0.817,0.735,8.157,0.764,0.576,1247.637
2,COMPLETE,0.191,3,0.220,12,1.000,0.220,7.000,0.025,0.080,0.600,0,10,0,0.191,0.288,1.610,0.153,0.202,740.878
3,COMPLETE,7.992,5,0.360,16,1.000,0.460,9.000,0.020,0.130,0.700,7,10,0,0.992,0.454,5.610,0.825,0.792,996.094
4,COMPLETE,0.573,9,0.240,4,1.000,0.220,8.500,0.020,0.060,0.000,0,10,0,0.573,0.451,4.498,0.602,0.327,896.915
5,COMPLETE,6.906,10,0.240,10,1.000,0.460,6.500,0.025,0.100,0.400,6,10,0,0.906,0.545,6.847,0.802,0.647,1090.403
6,COMPLETE,7.813,4,0.410,10,1.000,0.580,7.500,0.020,0.070,0.700,7,10,0,0.813,0.561,7.572,0.728,0.653,1029.930
7,COMPLETE,2.819,10,0.420,7,1.000,0.460,7.000,0.020,0.080,0.900,2,10,0,0.819,0.743,10.701,0.808,0.502,1236.144
8,COMPLETE,2.851,9,0.430,14,1.000,0.540,7.000,0.015,0.130,0.200,2,10,0,0.851,0.701,10.715,0.783,0.491,1221.460
9,COMPLETE,0.297,10,0.220,14,1.000,0.120,4.500,0.045,0.060,0.600,0,10,0,0.297,0.568,4.651,0.317,0.208,1124.797
10,COMPLETE,3.709,6,0.450,13,1.000,0.300,5.500,0.035,0.090,0.200,3,10,0,0.709,0.676,7.492,0.676,0.526,1238.631
11,COMPLETE,4.953,6,0.360,6,1.000,0.400,8.000,0.020,0.130,1.000,4,10,0,0.953,0.488,5.928,0.772,0.707,1023.609
12,COMPLETE,0.219,3,0.420,16,1.000,0.320,8.500,0.040,0.120,0.300,0,10,0,0.219,0.467,3.031,0.176,0.207,973.064
13,COMPLETE,2.460,7,0.320,13,1.000,0.360,6.500,0.035,0.050,0.500,2,10,0,0.460,0.602,6.021,0.540,0.297,1095.571
14,COMPLETE,0.138,4,0.290,16,1.000,0.140,6.500,0.060,0.060,1.000,0,10,0,0.138,0.470,1.879,0.110,0.191,1007.969
15,COMPLETE,4.904,10,0.270,14,1.000,0.320,5.000,0.045,0.090,0.600,4,10,0,0.904,0.607,6.346,0.803,0.631,1189.273
16,COMPLETE,0.739,9,0.320,5,1.000,0.120,5.500,0.020,0.080,0.500,0,10,0,0.739,0.608,6.661,0.640,0.498,1090.988
17,COMPLETE,2.496,8,0.240,12,1.000,0.380,9.000,0.030,0.050,0.500,2,10,0,0.496,0.474,4.129,0.464,0.372,957.220
18,COMPLETE,0.214,5,0.240,8,1.000,0.260,8.500,0.040,0.110,0.700,0,10,0,0.214,0.366,1.656,0.171,0.199,919.766
19,COMPLETE,2.779,9,0.300,11,1.000,0.260,5.500,0.045,0.100,0.200,2,10,0,0.779,0.596,5.651,0.696,0.495,1171.754
20,COMPLETE,2.647,8,0.210,11,1.000,0.300,6.000,0.060,0.140,0.800,2,10,0,0.647,0.449,2.137,0.524,0.542,1081.000
21,COMPLETE,1.359,7,0.390,7,1.000,0.300,5.500,0.055,0.040,0.400,1,10,0,0.359,0.655,5.719,0.467,0.225,1067.694
22,COMPLETE,7.989,6,0.260,12,1.000,0.480,5.000,0.015,0.120,0.200,7,10,0,0.989,0.444,6.055,0.809,0.719,957.488
23,COMPLETE,1.461,6,0.230,16,1.000,0.560,6.500,0.025,0.050,0.100,1,10,0,0.461,0.419,4.241,0.582,0.257,865.193
24,COMPLETE,0.218,4,0.300,16,1.000,0.160,8.500,0.030,0.110,0.300,0,10,0,0.218,0.395,2.676,0.174,0.211,901.900
25,COMPLETE,2.556,9,0.400,13,1.000,0.220,8.500,0.050,0.080,0.200,2,10,0,0.556,0.688,6.012,0.513,0.379,1264.309
26,COMPLETE,1.271,4,0.330,15,1.000,0.340,8.000,0.045,0.080,1.000,1,10,0,0.271,0.477,2.863,0.222,0.278,1036.507
27,COMPLETE,7.996,10,0.250,13,1.000,0.560,8.500,0.035,0.100,0.600,7,10,0,0.996,0.517,5.790,0.841,0.719,1097.259
28,COMPLETE,7.929,9,0.420,8,1.000,0.560,6.500,0.035,0.090,0.800,7,10,0,0.929,0.742,10.391,0.840,0.658,1285.549
29,COMPLETE,1.336,3,0.290,13,1.000,0.540,6.000,0.020,0.070,0.400,1,10,0,0.336,0.383,3.628,0.288,0.235,848.916
30,COMPLETE,0.332,6,0.270,5,1.000,0.180,8.500,0.020,0.050,0.800,0,10,0,0.332,0.426,3.790,0.318,0.189,850.579
31,COMPLETE,0.307,6,0.450,5,1.000,0.200,9.000,0.050,0.060,0.500,0,10,0,0.307,0.570,3.785,0.256,0.247,1044.506
32,COMPLETE,0.191,6,0.210,15,1.000,0.240,9.000,0.035,0.060,0.300,0,10,0,0.191,0.377,2.001,0.153,0.193,913.193
33,COMPLETE,0.220,5,0.230,11,1.000,0.420,7.000,0.035,0.090,0.400,0,10,0,0.220,0.401,2.513,0.176,0.205,935.618
34,COMPLETE,0.175,3,0.330,11,1.000,0.260,9.000,0.020,0.060,0.500,0,10,0,0.175,0.386,3.215,0.140,0.228,829.570
35,COMPLETE,1.539,6,0.330,8,1.000,0.380,6.000,0.030,0.050,0.700,1,10,0,0.539,0.560,5.915,0.606,0.318,1057.759
36,COMPLETE,1.233,3,0.200,16,1.000,0.500,8.000,0.040,0.120,0.700,1,10,0,0.233,0.248,0.183,0.194,0.220,634.452
37,COMPLETE,8.996,10,0.260,16,1.000,0.460,9.000,0.040,0.090,1.000,8,10,0,0.996,0.533,5.271,0.835,0.779,1105.155
38,COMPLETE,0.923,10,0.350,8,1.000,0.400,7.500,0.015,0.140,0.300,0,10,0,0.923,0.635,8.664,0.739,0.607,1198.658
39,COMPLETE,6.880,7,0.280,13,1.000,0.580,4.500,0.015,0.060,0.700,6,10,0,0.880,0.535,8.227,0.842,0.623,997.265
40,COMPLETE,0.203,9,0.200,13,1.000,0.140,8.000,0.045,0.070,0.800,0,10,0,0.203,0.473,2.674,0.163,0.227,1070.066
41,COMPLETE,1.543,9,0.420,6,1.000,0.220,7.000,0.045,0.050,0.600,1,10,0,0.543,0.725,7.034,0.593,0.319,1204.657
42,COMPLETE,2.881,8,0.300,5,1.000,0.240,7.000,0.060,0.120,0.700,2,10,0,0.881,0.536,3.344,0.710,0.684,1088.325
43,COMPLETE,3.554,5,0.220,14,1.000,0.560,8.500,0.025,0.090,0.700,3,10,0,0.554,0.338,2.725,0.463,0.460,856.139
44,COMPLETE,9.999,9,0.220,10,1.000,0.460,7.000,0.045,0.100,1.000,9,10,0,0.999,0.505,4.413,0.851,0.777,1119.719
45,COMPLETE,0.189,3,0.450,4,1.000,0.100,5.500,0.055,0.040,0.100,0,10,0,0.189,0.417,1.960,0.160,0.164,811.586
46,COMPLETE,0.153,4,0.240,6,1.000,0.120,7.000,0.045,0.050,0.200,0,10,0,0.153,0.370,1.289,0.135,0.169,866.660
47,COMPLETE,0.192,9,0.180,16,1.000,0.300,7.000,0.060,0.060,0.100,0,10,0,0.192,0.469,1.728,0.154,0.157,1089.598
48,COMPLETE,0.389,9,0.350,4,1.000,0.200,5.500,0.025,0.040,0.300,0,10,0,0.389,0.650,7.347,0.699,0.195,1015.423
49,COMPLETE,3.476,5,0.230,14,1.000,0.560,7.500,0.035,0.080,1.000,3,10,0,0.476,0.392,2.694,0.401,0.407,931.748
50,COMPLETE,5.643,7,0.260,14,1.000,0.340,7.500,0.030,0.080,0.200,5,10,0,0.643,0.495,4.618,0.576,0.478,1023.616
51,COMPLETE,2.918,8,0.400,8,1.000,0.340,6.000,0.040,0.140,1.000,2,10,0,0.918,0.661,7.431,0.758,0.666,1232.823
52,COMPLETE,1.806,10,0.400,8,1.000,0.300,4.500,0.035,0.140,0.800,1,10,0,0.806,0.745,8.969,0.698,0.488,1315.199
53,COMPLETE,0.272,5,0.200,9,1.000,0.160,8.500,0.020,0.090,0.400,0,10,0,0.272,0.309,2.223,0.229,0.209,801.516
54,COMPLETE,0.575,4,0.450,5,1.000,0.120,6.500,0.045,0.130,0.700,0,10,0,0.575,0.484,3.199,0.460,0.479,980.661
55,COMPLETE,0.144,4,0.360,9,1.000,0.160,5.000,0.060,0.040,0.400,0,10,0,0.144,0.576,3.912,0.119,0.153,1050.719
56,COMPLETE,2.482,4,0.290,7,1.000,0.280,5.500,0.040,0.110,0.800,2,10,0,0.482,0.418,2.811,0.390,0.427,950.922
57,COMPLETE,0.793,9,0.420,6,1.000,0.220,8.500,0.025,0.110,0.100,0,10,0,0.793,0.636,7.062,0.698,0.518,1155.069
58,COMPLETE,3.478,5,0.450,15,1.000,0.240,4.500,0.025,0.080,0.700,3,10,0,0.478,0.678,7.474,0.397,0.373,1181.757
59,COMPLETE,1.322,6,0.210,13,1.000,0.560,7.500,0.035,0.060,0.700,1,10,0,0.322,0.412,2.765,0.269,0.258,955.635
60,COMPLETE,0.431,8,0.430,8,1.000,0.120,8.000,0.020,0.070,0.100,0,10,0,0.431,0.689,7.356,0.410,0.355,1177.582
61,COMPLETE,0.552,10,0.230,10,1.000,0.160,6.000,0.025,0.050,0.900,0,10,0,0.552,0.552,5.520,0.557,0.296,1040.553
62,COMPLETE,0.372,7,0.340,12,1.000,0.200,7.000,0.015,0.040,0.600,0,10,0,0.372,0.605,6.767,0.467,0.219,972.485
63,COMPLETE,4.679,10,0.300,5,1.000,0.600,4.500,0.030,0.050,0.600,4,10,0,0.679,0.635,9.323,0.864,0.374,1054.062
64,COMPLETE,6.725,9,0.180,12,1.000,0.480,5.500,0.045,0.070,0.600,6,10,0,0.725,0.442,3.512,0.676,0.553,985.541
65,COMPLETE,3.549,9,0.390,7,1.000,0.420,9.000,0.025,0.050,0.600,3,10,0,0.549,0.632,7.940,0.789,0.343,1086.442
66,COMPLETE,4.813,4,0.260,5,1.000,0.240,7.000,0.010,0.110,0.500,4,10,0,0.813,0.319,3.508,0.656,0.653,780.234
67,COMPLETE,0.328,6,0.360,11,1.000,0.400,7.500,0.030,0.050,0.300,0,10,0,0.328,0.604,5.963,0.351,0.214,1062.775
68,COMPLETE,0.211,6,0.280,14,1.000,0.120,7.500,0.040,0.090,0.900,0,10,0,0.211,0.500,3.433,0.169,0.193,1074.349
69,COMPLETE,1.376,9,0.200,9,1.000,0.380,5.000,0.055,0.040,0.700,1,10,0,0.376,0.501,3.474,0.350,0.254,973.055
70,COMPLETE,1.414,7,0.310,7,1.000,0.360,7.000,0.035,0.060,0.400,1,10,0,0.414,0.567,5.238,0.427,0.255,1100.552
71,COMPLETE,0.229,3,0.420,16,1.000,0.340,6.500,0.030,0.100,0.000,0,10,0,0.229,0.508,4.387,0.183,0.196,1030.532
72,COMPLETE,0.197,7,0.190,12,1.000,0.180,5.000,0.060,0.110,0.400,0,10,0,0.197,0.392,1.581,0.158,0.222,1000.819
73,COMPLETE,1.456,7,0.370,4,1.000,0.120,5.000,0.060,0.070,0.500,1,10,0,0.456,0.581,4.115,0.409,0.334,1003.537
74,COMPLETE,0.438,10,0.310,4,1.000,0.240,4.500,0.035,0.040,0.600,0,10,0,0.438,0.637,7.168,0.814,0.219,1016.793
75,COMPLETE,0.148,3,0.250,13,1.000,0.100,8.500,0.025,0.060,0.000,0,10,0,0.148,0.314,1.842,0.118,0.205,754.155
76,COMPLETE,2.474,8,0.390,10,1.000,0.240,8.000,0.055,0.080,0.200,2,10,0,0.474,0.676,5.478,0.413,0.379,1261.062
77,COMPLETE,5.857,10,0.450,12,1.000,0.380,8.500,0.015,0.090,0.300,5,10,0,0.857,0.708,9.840,0.782,0.541,1243.724
78,COMPLETE,0.176,3,0.220,7,1.000,0.120,6.000,0.020,0.080,0.300,0,10,0,0.176,0.287,2.022,0.141,0.182,736.602
79,COMPLETE,4.886,10,0.390,9,1.000,0.480,9.000,0.010,0.100,0.900,4,10,0,0.886,0.641,9.666,0.795,0.514,1228.546
80,COMPLETE,4.930,10,0.370,10,1.000,0.500,9.000,0.010,0.100,0.900,4,10,0,0.930,0.642,9.823,0.808,0.684,1201.620
81,COMPLETE,3.971,10,0.380,10,1.000,0.500,9.000,0.010,0.100,0.900,3,10,0,0.971,0.652,9.947,0.788,0.683,1179.809
82,COMPLETE,4.930,10,0.370,10,1.000,0.500,9.000,0.010,0.100,0.900,4,10,0,0.930,0.642,9.823,0.808,0.684,1207.768
83,COMPLETE,11.000,10,0.260,10,1.000,0.520,9.000,0.050,0.100,0.900,10,10,0,1.000,0.534,4.659,0.847,0.825,1167.992
84,COMPLETE,8.944,10,0.370,10,1.000,0.520,9.000,0.010,0.100,0.900,8,10,0,0.944,0.652,10.219,0.841,0.669,1168.024
85,COMPLETE,3.971,10,0.380,10,1.000,0.500,9.000,0.010,0.100,0.900,3,10,0,0.971,0.652,9.947,0.788,0.683,1166.518
86,COMPLETE,5.972,10,0.380,10,1.000,0.460,9.000,0.015,0.100,0.900,5,10,0,0.972,0.655,9.455,0.812,0.688,1219.382
87,COMPLETE,7.972,10,0.260,10,1.000,0.460,9.000,0.010,0.100,0.900,7,10,0,0.972,0.515,7.425,0.802,0.709,1060.692
88,COMPLETE,3.971,10,0.380,10,1.000,0.500,9.000,0.010,0.100,0.900,3,10,0,0.971,0.652,9.947,0.788,0.683,1174.008
89,COMPLETE,6.955,10,0.380,10,1.000,0.460,9.000,0.010,0.100,0.900,6,10,0,0.955,0.654,9.867,0.830,0.623,1220.723
90,COMPLETE,7.972,10,0.260,10,1.000,0.460,9.000,0.010,0.100,0.900,7,10,0,0.972,0.515,7.425,0.802,0.709,1051.441
91,COMPLETE,6.993,10,0.250,10,1.000,0.460,9.000,0.010,0.100,0.900,6,10,0,0.993,0.501,7.240,0.826,0.683,1101.809
92,COMPLETE,5.987,10,0.250,10,1.000,0.520,9.000,0.010,0.100,0.900,5,10,0,0.987,0.498,7.426,0.813,0.712,1059.060
93,COMPLETE,6.993,10,0.250,10,1.000,0.460,9.000,0.010,0.100,0.900,6,10,0,0.993,0.501,7.240,0.826,0.683,1100.746
94,COMPLETE,9.941,10,0.250,10,1.000,0.520,9.000,0.050,0.100,0.900,9,10,0,0.941,0.518,4.325,0.835,0.784,1168.804
95,COMPLETE,9.941,10,0.250,10,1.000,0.520,9.000,0.050,0.100,0.900,9,10,0,0.941,0.518,4.325,0.835,0.784,1165.197
96,COMPLETE,6.953,10,0.260,10,1.000,0.440,6.500,0.015,0.100,0.800,6,10,0,0.953,0.587,8.214,0.811,0.605,1104.479
97,COMPLETE,3.966,10,0.260,15,1.000,0.440,6.500,0.015,0.120,0.800,3,10,0,0.966,0.575,7.979,0.784,0.620,1132.102
98,COMPLETE,5.994,5,0.260,15,1.000,0.600,6.500,0.015,0.130,0.800,5,10,0,0.994,0.396,5.513,0.810,0.762,910.996
99,COMPLETE,2.931,10,0.250,15,1.000,0.460,6.500,0.050,0.130,1.000,2,10,0,0.931,0.555,5.150,0.746,0.661,1205.719
100,COMPLETE,6.980,10,0.260,11,1.000,0.520,9.000,0.050,0.120,1.000,6,10,0,0.980,0.524,4.447,0.819,0.758,1162.548
101,COMPLETE,5.987,10,0.250,11,1.000,0.460,9.000,0.050,0.120,1.000,5,10,0,0.987,0.504,3.943,0.812,0.754,1140.351
102,COMPLETE,6.923,10,0.250,15,1.000,0.440,9.000,0.015,0.090,1.000,6,10,0,0.923,0.507,6.775,0.808,0.647,1084.559
103,COMPLETE,6.985,10,0.250,11,1.000,0.440,9.000,0.050,0.130,1.000,6,10,0,0.985,0.505,3.943,0.811,0.734,1156.024
104,COMPLETE,7.981,10,0.250,11,1.000,0.440,9.000,0.050,0.120,1.000,7,10,0,0.981,0.509,3.973,0.804,0.786,1159.074
105,COMPLETE,5.989,10,0.250,11,1.000,0.440,8.500,0.050,0.120,1.000,5,10,0,0.989,0.521,4.193,0.798,0.769,1164.951
106,COMPLETE,7.993,10,0.260,11,1.000,0.440,8.500,0.050,0.120,1.000,7,10,0,0.993,0.538,4.539,0.822,0.757,1182.998
107,COMPLETE,8.994,9,0.270,11,1.000,0.440,8.500,0.050,0.090,1.000,8,10,0,0.994,0.550,4.723,0.852,0.832,1177.211
108,COMPLETE,4.982,9,0.260,11,1.000,0.440,8.500,0.050,0.130,1.000,4,10,0,0.982,0.516,4.036,0.795,0.771,1147.622
109,COMPLETE,8.993,9,0.270,15,1.000,0.440,8.500,0.050,0.120,1.000,8,10,0,0.993,0.530,4.438,0.831,0.816,1177.524
110,COMPLETE,7.991,10,0.270,11,1.000,0.440,8.500,0.050,0.120,1.000,7,10,0,0.991,0.558,4.927,0.821,0.764,1176.730
111,COMPLETE,6.961,9,0.270,11,1.000,0.440,8.500,0.050,0.120,1.000,6,10,0,0.961,0.522,4.175,0.787,0.776,1162.575
112,COMPLETE,5.980,9,0.280,11,1.000,0.540,8.500,0.050,0.120,1.000,5,10,0,0.980,0.531,4.743,0.814,0.744,1156.532
113,COMPLETE,9.999,9,0.270,11,1.000,0.540,8.500,0.050,0.120,1.000,9,10,0,0.999,0.530,4.683,0.839,0.804,1151.305
114,COMPLETE,9.996,9,0.270,11,1.000,0.540,8.500,0.050,0.110,1.000,9,10,0,0.996,0.537,4.820,0.839,0.807,1160.242
115,COMPLETE,9.996,9,0.270,11,1.000,0.540,8.500,0.050,0.110,1.000,9,10,0,0.996,0.537,4.820,0.839,0.807,1162.370
116,COMPLETE,9.996,9,0.270,11,1.000,0.540,8.500,0.050,0.110,1.000,9,10,0,0.996,0.537,4.820,0.839,0.807,1153.759
117,COMPLETE,8.996,9,0.270,9,1.000,0.540,8.500,0.050,0.110,1.000,8,10,0,0.996,0.532,4.697,0.837,0.799,1147.233
118,COMPLETE,8.996,9,0.270,9,1.000,0.540,8.500,0.050,0.110,1.000,8,10,0,0.996,0.532,4.697,0.837,0.799,1149.458
119,COMPLETE,8.996,9,0.270,9,1.000,0.540,8.500,0.050,0.110,1.000,8,10,0,0.996,0.532,4.697,0.837,0.799,1158.323
120,COMPLETE,11.000,9,0.280,9,1.000,0.540,8.500,0.055,0.110,1.000,10,10,0,1.000,0.546,4.653,0.839,0.811,1186.899
121,COMPLETE,8.993,9,0.270,9,1.000,0.540,8.500,0.055,0.110,1.000,8,10,0,0.993,0.534,4.283,0.821,0.830,1178.474
122,COMPLETE,8.993,9,0.270,9,1.000,0.540,8.500,0.055,0.110,1.000,8,10,0,0.993,0.534,4.283,0.821,0.830,1183.670
123,COMPLETE,11.000,9,0.280,9,1.000,0.540,8.500,0.055,0.110,1.000,10,10,0,1.000,0.546,4.653,0.839,0.811,1193.221
124,COMPLETE,9.945,9,0.240,9,1.000,0.540,8.500,0.055,0.110,1.000,9,10,0,0.945,0.491,3.388,0.802,0.782,1145.715
125,COMPLETE,8.993,9,0.270,9,1.000,0.540,8.500,0.055,0.110,1.000,8,10,0,0.993,0.534,4.283,0.821,0.830,1190.845
126,COMPLETE,11.000,9,0.280,9,1.000,0.540,8.500,0.055,0.110,1.000,10,10,0,1.000,0.546,4.653,0.839,0.811,1184.957
127,COMPLETE,11.000,9,0.280,9,1.000,0.540,8.500,0.055,0.110,1.000,10,10,0,1.000,0.546,4.653,0.839,0.811,1177.656
128,COMPLETE,7.952,9,0.270,9,1.000,0.480,8.500,0.055,0.110,1.000,7,10,0,0.952,0.531,4.092,0.789,0.774,1157.669
129,COMPLETE,8.965,9,0.240,9,1.000,0.540,8.000,0.055,0.110,1.000,8,10,0,0.965,0.517,3.807,0.812,0.777,1143.507
130,COMPLETE,9.996,9,0.240,9,1.000,0.520,8.000,0.055,0.110,1.000,9,10,0,0.996,0.519,3.843,0.840,0.804,1144.399
131,COMPLETE,7.937,9,0.280,9,1.000,0.520,8.000,0.055,0.110,1.000,7,10,0,0.937,0.576,4.944,0.787,0.761,1195.054
132,COMPLETE,9.998,9,0.290,9,1.000,0.540,8.000,0.055,0.110,1.000,9,10,0,0.998,0.582,5.369,0.846,0.813,1204.188
133,COMPLETE,9.998,9,0.290,9,1.000,0.540,8.000,0.055,0.110,1.000,9,10,0,0.998,0.582,5.369,0.846,0.813,1202.901
134,COMPLETE,6.982,9,0.280,9,1.000,0.540,8.000,0.055,0.110,1.000,6,10,0,0.982,0.567,4.896,0.809,0.778,1189.508
135,COMPLETE,9.996,8,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.996,0.537,4.607,0.838,0.826,1155.129
136,COMPLETE,9.993,9,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.993,0.574,5.317,0.831,0.808,1194.704
137,COMPLETE,11.000,8,0.280,9,1.000,0.580,8.000,0.055,0.110,1.000,10,10,0,1.000,0.539,4.509,0.838,0.815,1153.549
138,COMPLETE,9.996,8,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.996,0.537,4.607,0.838,0.826,1152.649
139,COMPLETE,11.000,8,0.290,9,1.000,0.540,8.000,0.055,0.110,1.000,10,10,0,1.000,0.546,4.693,0.844,0.824,1159.068
140,COMPLETE,9.996,8,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.996,0.537,4.607,0.838,0.826,1162.392
141,COMPLETE,9.996,8,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.996,0.537,4.607,0.838,0.826,1161.327
142,COMPLETE,9.996,8,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.996,0.537,4.607,0.838,0.826,1155.289
143,COMPLETE,9.996,8,0.290,9,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.996,0.537,4.607,0.838,0.826,1157.544
144,COMPLETE,9.998,8,0.290,8,1.000,0.520,8.000,0.055,0.110,0.900,9,10,0,0.998,0.549,4.540,0.834,0.820,1155.742
145,COMPLETE,9.982,8,0.290,12,1.000,0.580,8.000,0.055,0.110,0.900,9,10,0,0.982,0.542,4.591,0.836,0.778,1165.965
146,COMPLETE,9.999,8,0.290,8,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.999,0.557,4.856,0.837,0.826,1163.497
147,COMPLETE,10.000,8,0.290,8,1.000,0.580,8.000,0.055,0.110,0.900,9,10,0,1.000,0.534,4.539,0.845,0.802,1176.180
148,COMPLETE,9.999,8,0.290,8,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.999,0.557,4.856,0.837,0.826,1167.791
149,COMPLETE,9.999,8,0.290,8,1.000,0.580,8.000,0.055,0.110,1.000,9,10,0,0.999,0.557,4.856,0.837,0.826,1161.538
150,COMPLETE,7.990,8,0.290,8,1.000,0.560,8.000,0.055,0.110,1.000,7,10,0,0.990,0.542,4.505,0.821,0.789,1171.204
151,COMPLETE,8.993,8,0.290,8,1.000,0.580,8.000,0.060,0.110,1.000,8,10,0,0.993,0.548,4.299,0.833,0.807,1170.451
152,COMPLETE,8.993,8,0.290,8,1.000,0.580,8.000,0.060,0.110,1.000,8,10,0,0.993,0.548,4.299,0.833,0.807,1168.958
153,COMPLETE,11.000,8,0.290,8,1.000,0.560,8.000,0.060,0.110,1.000,10,10,0,1.000,0.558,4.352,0.858,0.829,1187.094
154,COMPLETE,11.000,8,0.300,8,1.000,0.560,8.000,0.060,0.110,1.000,10,10,0,1.000,0.563,4.575,0.859,0.839,1190.091
155,COMPLETE,8.994,8,0.310,8,1.000,0.560,8.000,0.060,0.110,1.000,8,10,0,0.994,0.570,4.728,0.832,0.810,1201.219
156,COMPLETE,11.000,8,0.300,8,1.000,0.560,8.000,0.060,0.110,1.000,10,10,0,1.000,0.563,4.575,0.859,0.839,1193.694
157,COMPLETE,8.994,8,0.310,8,1.000,0.560,8.000,0.060,0.110,1.000,8,10,0,0.994,0.570,4.728,0.832,0.810,1196.130
158,COMPLETE,9.997,8,0.310,8,1.000,0.560,7.500,0.060,0.110,1.000,9,10,0,0.997,0.577,5.009,0.851,0.805,1198.810
159,COMPLETE,8.997,8,0.310,8,1.000,0.520,7.500,0.060,0.110,0.900,8,10,0,0.997,0.575,4.839,0.834,0.788,1202.439
160,COMPLETE,9.996,8,0.300,8,1.000,0.560,7.500,0.060,0.110,0.900,9,10,0,0.996,0.572,4.819,0.844,0.800,1184.233
161,COMPLETE,9.999,8,0.310,8,1.000,0.560,7.500,0.060,0.110,0.900,9,10,0,0.999,0.577,4.966,0.842,0.785,1195.683
162,COMPLETE,9.999,8,0.310,8,1.000,0.560,7.500,0.060,0.110,0.900,9,10,0,0.999,0.577,4.966,0.842,0.785,1196.443
163,COMPLETE,9.999,8,0.310,8,1.000,0.560,7.500,0.060,0.110,0.900,9,10,0,0.999,0.577,4.966,0.842,0.785,1193.291
164,COMPLETE,9.996,8,0.300,8,1.000,0.560,7.500,0.060,0.110,0.900,9,10,0,0.996,0.572,4.819,0.844,0.800,1187.893
165,COMPLETE,7.994,8,0.310,8,1.000,0.560,7.500,0.060,0.120,0.900,7,10,0,0.994,0.569,4.849,0.832,0.800,1196.733
166,COMPLETE,9.997,8,0.310,8,1.000,0.600,7.500,0.060,0.110,0.900,9,10,0,0.997,0.580,5.140,0.843,0.813,1193.510
167,COMPLETE,9.998,8,0.310,8,1.000,0.600,7.500,0.060,0.120,0.900,9,10,0,0.998,0.576,4.991,0.831,0.770,1200.603
